Alpha-2 code,Year,Total Livestock,Country,Alpha-3 code,Numeric
GB,2015 ,39259.0,United Kingdom of Great Britain and Northern Ireland (the),GBR,826
HU,2015 ,5385.0,Hungary,HUN,348
AL,2015 ,2958.73,Albania,ALB,8
AT,2015 ,5690.87,Austria,AUT,40
BA,2015 ,2256.0,Bosnia and Herzegovina,BIH,70
BE,2015 ,9513.52,Belgium,BEL,56
BG,2015 ,2775.96,Bulgaria,BGR,100
CH,2015 ,5399.4800000000005,Switzerland,CHE,756
CY,2015 ,739.97,Cyprus,CYP,196
CZ,2015 ,3509.28,Czechia,CZE,203
IE,2015 ,12461.5,Ireland,IRL,372
DK,2015 ,14982.95,Denmark,DNK,208
EE,2015 ,737.2,Estonia,EST,233
GR,2015 ,10422.0,Greece,GRC,300
ES,2015 ,51420.73,Spain,ESP,724
FI,2015 ,2579.84,Finland,FIN,246
FR,2015 ,43387.54,France,FRA,250
HR,2015 ,2368.0,Croatia,HRV,191
DE,2015 ,46152.31,Germany,DEU,276
IT,2016 ,24138.16,Italy,ITA,380
LT,2016 ,1808.1,Lithuania,LTU,440
LU,2016 ,358.7425,Luxembourg,LUX,442
LV,2016 ,1009.35,Latvia,LVA,428
ME,2016 ,395.6,Montenegro,MNE,499
MK,2016 ,1306.0,Republic of North Macedonia,MKD,807
MT,2016 ,72.98,Malta,MLT,470
NL,2016 ,19009.0,Netherlands (the),NLD,528
RS,2016 ,6005.0,Serbia,SRB,688
PT,2016 ,6273.599999999999,Portugal,PRT,620
RO,2016 ,17825.5,Romania,ROU,642
SE,2016 ,3776.74,Sweden,SWE,752
SI,2016 ,971.8025,Slovenia,SVN,705
SK,2016 ,1533.46,Slovakia,SVK,703
TR,2016 ,50614.33,Turkey,TUR,792
IS,2016 ,617.2,Iceland,ISL,352
PL,2016 ,19439.8275,Poland,POL,616
GB,2016 ,39913.0,United Kingdom of Great Britain and Northern Ireland (the),GBR,826
IE,2016 ,12874.72,Ireland,IRL,372
HR,2016 ,2373.0,Croatia,HRV,191
HU,2016 ,5144.0,Hungary,HUN,348
AL,2016 ,3005.59,Albania,ALB,8
AT,2016 ,5665.4400000000005,Austria,AUT,40
BA,2016 ,2231.0,Bosnia and Herzegovina,BIH,70
BE,2016 ,9325.84,Belgium,BEL,56
CH,2016 ,5333.09,Switzerland,CHE,756
CY,2016 ,748.4,Cyprus,CYP,196
BG,2016 ,2825.58,Bulgaria,BGR,100
DE,2016 ,45634.62,Germany,DEU,276
DK,2016 ,14543.215,Denmark,DNK,208
EE,2016 ,682.9,Estonia,EST,233
GR,2016 ,10142.0,Greece,GRC,300
ES,2016 ,52346.58,Spain,ESP,724
FI,2016 ,2511.95,Finland,FIN,246
FR,2016 ,42958.4,France,FRA,250
CZ,2016 ,3403.325,Czechia,CZE,203
MT,2017 ,66.07,Malta,MLT,470
LT,2017 ,1731.3,Lithuania,LTU,440
LU,2017 ,349.945,Luxembourg,LUX,442
LV,2017 ,988.95,Latvia,LVA,428
ME,2017 ,361.4,Montenegro,MNE,499
MK,2017 ,1305.0,Republic of North Macedonia,MKD,807
NL,2017 ,19006.0,Netherlands (the),NLD,528
IT,2017 ,24176.07,Italy,ITA,380
PT,2017 ,6298.65,Portugal,PRT,620
RO,2017 ,17574.3,Romania,ROU,642
RS,2017 ,5943.0,Serbia,SRB,688
SE,2017 ,3760.41,Sweden,SWE,752
SI,2017 ,955.5150000000001,Slovenia,SVN,705
SK,2017 ,1549.4099999999999,Slovakia,SVK,703
TR,2017 ,55722.47,Turkey,TUR,792
PL,2017 ,20341.665,Poland,POL,616
IS,2017 ,602.6,Iceland,ISL,352
GB,2017 ,39643.0,United Kingdom of Great Britain and Northern Ireland (the),GBR,826
HU,2017 ,5130.0,Hungary,HUN,348
AL,2017 ,2927.23,Albania,ALB,8
AT,2017 ,5708.46,Austria,AUT,40
BA,2017 ,2216.0,Bosnia and Herzegovina,BIH,70
BE,2017 ,9130.55,Belgium,BEL,56
BG,2017 ,2723.63,Bulgaria,BGR,100
CH,2017 ,5305.64,Switzerland,CHE,756
CY,2017 ,768.84,Cyprus,CYP,196
CZ,2017 ,3479.29,Czechia,CZE,203
IE,2017 ,13615.06,Ireland,IRL,372
DK,2017 ,15106.48,Denmark,DNK,208
EE,2017 ,705.9000000000001,Estonia,EST,233
GR,2017 ,9990.0,Greece,GRC,300
ES,2017 ,53223.61,Spain,ESP,724
FI,2017 ,2403.6,Finland,FIN,246
FR,2017 ,42780.42,France,FRA,250
HR,2017 ,2348.0,Croatia,HRV,191
DE,2017 ,45637.57,Germany,DEU,276
LT,2018 ,1646.0,Lithuania,LTU,440
LU,2018 ,338.72749999999996,Luxembourg,LUX,442
LV,2018 ,951.99,Latvia,LVA,428
ME,2018 ,353.4,Montenegro,MNE,499
MK,2018 ,1308.0,Republic of North Macedonia,MKD,807
MT,2018 ,69.81,Malta,MLT,470
NL,2018 ,17894.0,Netherlands (the),NLD,528
RS,2018 ,5795.0,Serbia,SRB,688
PT,2018 ,6280.7300000000005,Portugal,PRT,620
RO,2018 ,17237.1,Romania,ROU,642
SE,2018 ,3532.2200000000003,Sweden,SWE,752
SI,2018 ,948.6975,Slovenia,SVN,705
SK,2018 ,1544.87,Slovakia,SVK,703
TR,2018 ,58729.020000000004,Turkey,TUR,792
IT,2018 ,23922.02,Italy,ITA,380
PL,2018 ,19681.8025,Poland,POL,616
IS,2018 ,575.8,Iceland,ISL,352
GB,2018 ,38420.0,United Kingdom of Great Britain and Northern Ireland (the),GBR,826
HU,2018 ,5105.0,Hungary,HUN,348
AL,2018 ,2855.23,Albania,ALB,8
AT,2018 ,5628.59,Austria,AUT,40
BA,2018 ,2192.0,Bosnia and Herzegovina,BIH,70
BE,2018 ,9253.79,Belgium,BEL,56
BG,2018 ,2791.06,Bulgaria,BGR,100
CH,2018 ,5249.12,Switzerland,CHE,756
CY,2018 ,775.74,Cyprus,CYP,196
CZ,2018 ,3445.845,Czechia,CZE,203
IE,2018 ,13333.22,Ireland,IRL,372
DK,2018 ,14881.744999999999,Denmark,DNK,208
EE,2018 ,703.8,Estonia,EST,233
GR,2018 ,9788.0,Greece,GRC,300
ES,2018 ,53983.909999999996,Spain,ESP,724
FI,2018 ,2311.68,Finland,FIN,246
FR,2018 ,43046.270000000004,France,FRA,250
HR,2018 ,2235.0,Croatia,HRV,191
DE,2018 ,44065.25,Germany,DEU,276
IT,2019 ,23764.1,Italy,ITA,380
